Mouse,Date,k,TDA Score
CB279,121621,1,0.5111111111111112
CB279,121621,2,0.49444444444444435
CB279,121621,3,0.5092592592592592
CB279,121621,4,0.5407407407407407
CB279,121621,5,0.5148148148148147
CB279,121621,6,0.5277777777777779
CB279,121621,7,0.5296296296296296
CB279,121621,8,0.5592592592592593
CB279,121621,9,0.5592592592592592
CB279,121621,10,0.5888888888888889
CB279,121421,1,0.4760000000000001
CB279,121421,2,0.42800000000000005
CB279,121421,3,0.44800000000000006
CB279,121421,4,0.45
CB279,121421,5,0.43200000000000005
CB279,121421,6,0.41400000000000003
CB279,121421,7,0.382
CB279,121421,8,0.406
CB279,121421,9,0.4080000000000001
CB279,121421,10,0.41200000000000003
CB279,122021,1,0.6037037037037039
CB279,122021,2,0.5574074074074074
CB279,122021,3,0.6185185185185185
CB279,122021,4,0.6092592592592593
CB279,122021,5,0.6314814814814815
CB279,122021,6,0.6185185185185185
CB279,122021,7,0.6074074074074074
CB279,122021,8,0.6092592592592593
CB279,122021,9,0.5962962962962963
CB279,122021,10,0.5962962962962963
CB278,121521,1,0.4583333333333333
CB278,121521,2,0.5020833333333334
CB278,121521,3,0.5520833333333333
CB278,121521,4,0.5854166666666666
CB278,121521,5,0.5916666666666667
CB278,121521,6,0.5979166666666667
CB278,121521,7,0.6208333333333332
CB278,121521,8,0.5895833333333333
CB278,121521,9,0.6083333333333334
CB278,121521,10,0.61875
CB278,121721,1,0.4777777777777777
CB278,121721,2,0.5388888888888889
CB278,121721,3,0.5185185185185185
CB278,121721,4,0.5666666666666667
CB278,121721,5,0.5592592592592592
CB278,121721,6,0.5703703703703704
CB278,121721,7,0.5851851851851853
CB278,121721,8,0.5944444444444443
CB278,121721,9,0.587037037037037
CB278,121721,10,0.6222222222222222
CB278,121921,1,0.5596153846153846
CB278,121921,2,0.573076923076923
CB278,121921,3,0.598076923076923
CB278,121921,4,0.6346153846153846
CB278,121921,5,0.6249999999999998
CB278,121921,6,0.5942307692307691
CB278,121921,7,0.6096153846153844
CB278,121921,8,0.5942307692307691
CB278,121921,9,0.5846153846153845
CB278,121921,10,0.5884615384615384
CB295,040222,1,0.6083333333333333
CB295,040222,2,0.6583333333333334
